fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_TDAcc,diff_StrAcc,diff_SubAvg,diff_StrDef,diff_Age,diff_SApM,diff_SLpM,diff_Reach,diff_TDAvg,diff_Height_in,diff_Draws,diff_TDDef,diff_Weight,diff_Wins,diff_Losses
Valerie Letourneau,Elizabeth Phillips,1,115.0,68,4.51,37,5.4,58,0.77,45,66,0.3,135.0,65,2.6,33,3.07,58,0.75,25,53,0.2,8,6,0,6,6,0,67.0,66.0,41.0,38.0,False,True,False,False,False,True,False,False,20,4,0.09999999999999998,0,3.0,2.3300000000000005,1.9099999999999997,3,0.020000000000000018,1.0,0,13,-20.0,2,0
Pedro Munhoz,Matt Hobar,1,135.0,65,5.38,41,6.29,55,0.48,16,82,0.5,135.0,70,3.23,42,4.27,52,3.66,44,50,0.0,20,10,0,9,3,0,66.0,70.0,38.0,38.0,False,True,False,False,False,False,True,False,-28,-1,0.5,3,0.0,2.0200000000000005,2.15,-5,-3.18,-4.0,0,32,0.0,11,7
Edimilson Souza,Mark Eddiva,1,145.0,74,4.65,44,2.91,58,0.0,0,50,0.0,145.0,68,3.37,45,2.98,54,1.45,22,63,0.0,15,5,0,6,3,0,72.0,68.0,40.0,39.0,False,True,False,False,False,True,False,False,-22,-1,0.0,4,1.0,-0.06999999999999984,1.2800000000000002,6,-1.45,4.0,0,-13,0.0,9,2
Paulo Thiago,Gasan Umalatov,0,170.0,74,1.71,39,1.99,63,1.42,31,63,1.2,170.0,71,2.23,39,4.1,59,0.75,17,90,0.0,18,9,0,17,4,2,71.0,71.0,44.0,42.0,False,True,False,False,False,True,False,False,14,0,1.2,4,2.0,-2.1099999999999994,-0.52,3,0.6699999999999999,0.0,-2,-27,0.0,1,5
Rony Jason,Robert Peralta,0,145.0,73,2.04,44,3.14,53,0.59,30,36,0.8,145.0,71,3.76,44,2.97,53,0.59,66,65,0.0,14,7,0,18,8,0,67.0,68.0,41.0,39.0,False,True,False,False,False,True,False,False,-36,0,0.8,0,2.0,0.16999999999999993,-1.7199999999999998,2,0.0,-1.0,0,-29,0.0,-4,-1
Elias Silverio,Ernest Chavez,1,155.0,73,3.67,49,2.97,51,1.62,38,85,0.2,145.0,70,2.79,40,3.89,59,0.89,33,50,0.0,13,3,0,10,2,0,71.0,68.0,38.0,41.0,False,True,False,False,False,True,False,False,5,9,0.2,-8,-3.0,-0.9199999999999999,0.8799999999999999,3,0.7300000000000001,3.0,0,35,10.0,3,1
Rodrigo Damm,Rashid Magomedov,0,155.0,71,3.5,36,5.61,57,0.44,16,80,0.3,155.0,70,4.4,49,3.05,54,0.67,57,89,0.2,13,9,0,20,2,0,67.0,69.0,45.0,40.0,False,True,False,False,False,True,False,False,-41,-13,0.09999999999999998,3,5.0,2.5600000000000005,-0.9000000000000004,1,-0.23000000000000004,-2.0,0,-9,0.0,-7,7
Demian Maia,Alexander Yakovlev,1,170.0,72,1.8,43,2.07,63,2.49,24,61,1.0,155.0,74,1.74,47,2.41,58,1.66,35,72,0.1,28,11,0,24,10,1,73.0,75.0,47.0,40.0,False,False,True,False,False,False,True,False,-11,-4,0.9,5,7.0,-0.3400000000000003,0.06000000000000005,-2,0.8300000000000003,-2.0,-1,-11,15.0,4,1
Marcio Alexandre Junior,Warlley Alves,0,185.0,75,1.61,45,2.89,42,0.35,20,66,0.7,185.0,72,3.04,48,3.95,50,1.22,50,62,0.8,17,4,0,15,8,0,72.0,71.0,35.0,34.0,False,False,True,False,False,True,False,False,-30,-3,-0.10000000000000009,-8,1.0,-1.06,-1.43,3,-0.87,1.0,0,4,0.0,2,-4
Vitor Miranda,Antonio Carlos Junior,0,185.0,77,2.98,45,2.95,58,0.95,55,50,0.2,185.0,79,1.95,42,2.14,52,3.42,39,53,0.8,12,5,0,11,5,0,73.0,74.0,46.0,35.0,False,True,False,False,False,True,False,False,16,3,-0.6000000000000001,6,11.0,0.81,1.03,-2,-2.4699999999999998,-1.0,0,-3,0.0,1,0
